"Date","Open","High","Low","Close","Volume"
"Mar 6, 2023","4,790.00","4,800.00","4,780.00","4,790.00","78,292,000"
"Mar 3, 2023","4,800.00","4,800.00","4,730.00","4,760.00","84,777,000"
"Mar 2, 2023","4,750.00","4,780.00","4,720.00","4,780.00","59,377,900"
"Mar 1, 2023","4,730.00","4,750.00","4,700.00","4,720.00","115,578,600"
"Feb 28, 2023","4,760.00","4,790.00","4,670.00","4,670.00","273,125,500"
"Feb 27, 2023","4,780.00","4,810.00","4,760.00","4,810.00","89,918,800"
"Feb 24, 2023","4,800.00","4,840.00","4,760.00","4,760.00","46,409,300"
"Feb 23, 2023","4,810.00","4,810.00","4,730.00","4,800.00","139,144,500"
"Feb 22, 2023","4,790.00","4,810.00","4,730.00","4,760.00","107,327,900"
"Feb 21, 2023","4,880.00","4,880.00","4,820.00","4,820.00","59,319,100"
"Feb 20, 2023","4,900.00","4,900.00","4,840.00","4,880.00","88,432,500"
"Feb 17, 2023","4,890.00","4,890.00","4,830.00","4,880.00","104,019,300"
"Feb 16, 2023","4,890.00","4,890.00","4,850.00","4,870.00","69,966,200"
"Feb 15, 2023","4,890.00","4,890.00","4,810.00","4,870.00","84,568,100"
"Feb 14, 2023","4,820.00","4,870.00","4,810.00","4,870.00","120,995,200"
"Feb 13, 2023","4,900.00","4,900.00","4,800.00","4,800.00","144,569,400"
"Feb 10, 2023","4,840.00","4,880.00","4,770.00","4,860.00","181,146,600"
"Feb 9, 2023","4,790.00","4,840.00","4,770.00","4,810.00","177,400,700"
"Feb 8, 2023","4,710.00","4,790.00","4,710.00","4,790.00","168,599,500"
"Feb 7, 2023","4,740.00","4,790.00","4,720.00","4,750.00","140,923,100"
"Feb 6, 2023","4,780.00","4,810.00","4,680.00","4,740.00","141,366,300"
"Feb 3, 2023","4,650.00","4,780.00","4,630.00","4,750.00","198,479,900"
"Feb 2, 2023","4,650.00","4,680.00","4,600.00","4,600.00","145,413,400"
"Feb 1, 2023","4,630.00","4,690.00","4,620.00","4,680.00","181,849,300"
"Jan 31, 2023","4,610.00","4,620.00","4,570.00","4,580.00","280,039,200"
"Jan 30, 2023","4,650.00","4,680.00","4,570.00","4,610.00","185,972,400"
"Jan 27, 2023","4,600.00","4,680.00","4,600.00","4,640.00","178,282,600"
"Jan 26, 2023","4,560.00","4,620.00","4,550.00","4,590.00","113,840,400"
"Jan 25, 2023","4,620.00","4,620.00","4,550.00","4,560.00","84,009,300"
"Jan 24, 2023","4,660.00","4,680.00","4,590.00","4,620.00","81,964,700"
"Jan 20, 2023","4,630.00","4,670.00","4,620.00","4,650.00","116,038,300"
"Jan 19, 2023","4,590.00","4,630.00","4,580.00","4,610.00","117,204,100"
"Jan 18, 2023","4,560.00","4,620.00","4,560.00","4,600.00","178,026,000"
"Jan 17, 2023","4,520.00","4,580.00","4,510.00","4,560.00","150,577,400"
"Jan 16, 2023","4,430.00","4,530.00","4,420.00","4,520.00","172,170,900"
"Jan 13, 2023","4,510.00","4,530.00","4,420.00","4,480.00","134,592,100"
"Jan 12, 2023","4,480.00","4,520.00","4,410.00","4,500.00","210,887,800"
"Jan 11, 2023","4,410.00","4,430.00","4,360.00","4,380.00","211,610,100"
"Jan 10, 2023","57.00","","","",""
"Jan 10, 2023","4,550.00","4,570.00","4,410.00","4,430.00","282,510,000"
"Jan 9, 2023","4,580.00","4,640.00","4,550.00","4,590.00","166,164,900"
"Jan 6, 2023","4,550.00","4,640.00","4,550.00","4,620.00","175,932,000"
"Jan 5, 2023","4,750.00","4,760.00","4,570.00","4,640.00","292,142,000"
"Jan 4, 2023","4,850.00","4,850.00","4,770.00","4,770.00","188,071,000"
"Jan 3, 2023","4,830.00","4,900.00","4,830.00","4,850.00","95,136,500"
"Jan 2, 2023","4,910.00","4,920.00","4,820.00","4,870.00","100,200,100"
